Wisc Milwaukee,,WM,CBB
Valparaiso,,VAL,CBB
SMU,,SMU,CBB
Colorado,,CO,CBB
Mississippi State,,MSS,CBB
Western Kentucky,,WK,CBB
Loyola Chicago,,LC,CBB
Wisc Green Bay,,WGB,CBB
Utah St,,UTS,CBB
Idaho U,,ID,CBB
VA Commonwealth,,VAC,CBB
NC Wilmington,,NCW,CBB
CS Northridge,,CSN,CBB
UC Davis,,UCD,CBB
San Jose State,,SJ,CBB
New Mexico St,,NMS,CBB
Hawaii,,HI,CBB
Louisiana Tech,,LT,CBB
Tennessee Tech,,TT,CBB
Eastern Illinois,,EI,CBB
Jacksonville St,,JAX,CBB
SE Missouri St,,SEM,CBB
Austin Peay,,AUS,CBB
Eastern Kentucky,,EK,CBB
Tennessee Martin,,TM,CBB
Murray St,,MUR,CBB
Tennessee St,,TNS,CBB
Morehead St,,MOR,CBB
Notre Dame,,ND,CBB
Georgetown,,GEO,CBB